total,ticker,put_call
5,LUV,CALL
5,CHTR,CALL
5,UWMC,CALL
5,MSOS,CALL
5,BTBT,PUT
5,K,PUT
5,CCL,CALL
5,UPS,CALL
5,EL,PUT
5,SOXX,CALL
5,EWG,CALL
5,BBY,CALL
5,LEN,PUT
5,CHPT,PUT
5,IJR,PUT
5,DHR,CALL
5,ZI,PUT
5,SIVB,PUT
5,PBR,PUT
5,CMCSA,CALL
5,FFIE,CALL
5,CLF,CALL
5,VEEV,PUT
5,TMO,PUT
5,KLIC,CALL
5,MDT,PUT
5,BMY,PUT
5,MSOS,PUT
5,ZEN,PUT
5,CHGG,PUT
5,MMM,PUT
5,RETA,PUT
5,OIH,CALL
5,SWKS,CALL
5,ANTM,CALL
5,GRWG,PUT
5,SQM,PUT
5,APO,CALL
5,SPXL,PUT
5,SAM,CALL
5,NVTA,CALL
5,ZG,PUT
5,TSP,PUT
5,CHWY,CALL
5,LRCX,PUT
5,MCD,CALL
5,U,PUT
5,T,PUT
5,ASO,CALL
5,COUP,CALL
5,LIVN,CALL
5,HPQ,CALL
5,BLDR,CALL
5,ILMN,PUT
5,HUBS,PUT
5,FVRR,PUT
5,SBNY,CALL
4,FUBO,PUT
4,ULTA,CALL
4,FUTU,CALL
4,WAL,CALL
4,MET,CALL
4,OKTA,CALL
4,CIEN,CALL
4,KSS,PUT
4,UAN,CALL
4,XM,CALL
4,VMW,CALL
4,TSN,CALL
4,SPG,CALL
4,RLX,CALL
4,CLOU,PUT
4,QRVO,CALL
4,LLY,CALL
4,CDNS,PUT
4,AMBA,CALL
4,DHR,PUT
4,URI,CALL
4,VLO,CALL
4,W,CALL
4,CLSK,PUT
4,NRG,CALL
4,PFE,PUT
4,EWG,PUT
4,GRAB,PUT
4,VRTX,CALL
4,ASAN,CALL
4,PLBY,CALL
4,IONQ,CALL
4,FUBO,CALL
4,INDI,PUT
4,SRPT,CALL
4,AVDL,PUT
4,ABBV,PUT
4,BOIL,CALL
4,DISCK,PUT
4,CNC,CALL
4,TXN,PUT
4,DELL,PUT
4,PTC,PUT
4,CAR,CALL
4,GGPI,CALL
4,LI,PUT
4,ARCH,CALL
4,SKLZ,PUT
4,MSCI,CALL
4,MAR,PUT
4,LAZR,CALL
4,HAL,CALL
4,CVNA,CALL
4,CNK,CALL
4,VLO,PUT
4,FISV,CALL
4,ESSC,PUT
4,GDXJ,PUT
4,XLP,CALL
4,PG,PUT
4,EBAY,CALL
4,FANG,PUT
4,CRSP,CALL
4,PLD,CALL
4,AUPH,PUT
4,JETS,CALL
4,FL,PUT
4,DISCA,PUT
4,AZN,PUT
4,EMB,PUT
4,DIDI,PUT
4,SWBI,PUT
4,M,PUT
4,VNQ,PUT
4,BCRX,CALL
4,COF,PUT
4,RIOT,CALL
4,ATVI,PUT
4,TROW,CALL
4,ME,PUT
4,TEVA,CALL
4,NTR,CALL
4,ANSS,CALL
4,UPWK,PUT
4,VTI,PUT
4,TOST,PUT
4,AXP,PUT
4,STNE,PUT
4,LABU,PUT
4,PL,PUT
4,FISV,PUT
4,PVH,PUT
4,UPRO,PUT
4,APPS,PUT
4,MPC,PUT
4,SSO,CALL
4,ATUS,CALL
4,EFX,CALL
4,SBNY,PUT
4,POST,CALL
3,CRL,CALL
3,ARQQ,PUT
3,KHC,CALL
3,LC,CALL
3,SPIR,PUT
3,TTCF,PUT
3,PUBM,PUT
3,NUGT,CALL
3,LYFT,CALL
3,PENN,CALL
3,BB,CALL
3,DVN,PUT
3,QS,CALL
3,APA,PUT
3,BBBY,PUT
3,HLIO,CALL
3,HUT,CALL
3,EFX,PUT
3,URTY,CALL
3,BIIB,CALL
3,KR,CALL
3,VOO,CALL
3,LQD,PUT
3,CYRX,PUT
3,KR,PUT
3,SAVA,PUT
3,KMB,CALL
3,SPXS,CALL
3,MCD,PUT
3,VRM,CALL
3,MMM,CALL
3,AAWW,CALL
3,ALB,CALL
3,BBIO,CALL
3,AYX,PUT
3,BILI,CALL
3,GWW,CALL
3,APP,CALL
3,UPRO,CALL
3,S,CALL
3,PATH,PUT
3,CWH,CALL
3,CLF,PUT
3,VALE,CALL
3,COP,CALL
3,MCK,CALL
3,VTI,CALL
3,SPWR,PUT
3,MPC,CALL
3,COUP,PUT
3,SNPS,PUT
3,BP,PUT
3,RNG,CALL
3,SBLK,PUT
3,TGT,PUT
3,INCY,CALL
3,XHB,PUT
3,LC,PUT
3,MPWR,PUT
3,UWMC,PUT
3,MO,CALL
3,KMI,CALL
3,ADSK,PUT
3,WISH,PUT
3,GNRC,CALL
3,AMGN,CALL
3,LWLG,CALL
3,EVGO,CALL
3,ZIOP,PUT
3,ARQQ,CALL
3,ALB,PUT
3,ADSK,CALL
3,TFX,PUT
3,MLM,CALL
3,TGLS,CALL
3,DQ,PUT
3,RRC,CALL
3,EXAS,CALL
3,JNPR,CALL
3,AOUT,PUT
3,MLCO,CALL
3,GOGL,PUT
3,SEDG,CALL
3,PACB,PUT
3,SQM,CALL
3,EQIX,PUT
3,EPD,PUT
3,KGC,CALL
3,FTNT,PUT
3,NCLH,PUT
3,KEYS,PUT
3,AMT,PUT
3,DVY,PUT
3,ODFL,CALL
3,AG,CALL
3,JBLU,PUT
3,MNTS,PUT
3,SPGI,PUT
3,FSR,CALL
3,EDIT,PUT
3,GFS,CALL
3,MO,PUT
3,HCA,CALL
3,RCL,PUT
3,IPOF,CALL
3,BBBY,CALL
3,DOCS,PUT
3,SOXX,PUT
3,POWW,PUT
3,TT,CALL
3,XHB,CALL
3,DASH,CALL
3,SRNE,CALL
3,PUBM,CALL
3,EFA,CALL
3,IBB,CALL
3,GDXJ,CALL
3,QLD,PUT
3,LH,CALL
3,SPWR,CALL
3,BHC,CALL
3,PEP,PUT
3,IT,PUT
3,FICO,PUT
3,FTCH,PUT
2,CNK,PUT
2,MSI,CALL
2,DKS,CALL
2,MRO,CALL
2,ALDX,CALL
2,GPS,PUT
2,SLB,PUT
2,CZOO,PUT
2,WM,PUT
2,FATE,CALL
2,PRFT,PUT
2,SPT,PUT
2,FRSH,PUT
2,ERF,CALL
2,GLOB,CALL
2,URA,CALL
2,ZTS,CALL
2,XPDI,CALL
2,DRI,CALL
2,XOM,PUT
2,ALLY,PUT
2,ITCI,CALL
2,SITM,CALL
2,VET,CALL
2,SOXS,PUT
2,HYLN,PUT
2,ALK,CALL
2,JWN,PUT
2,OVV,CALL
2,CVX,PUT
2,FOUR,CALL
2,HES,CALL
2,VMW,PUT
2,CMCSA,PUT
2,IVV,PUT
2,URNM,CALL
2,CAR,PUT
2,BROS,PUT
2,VCR,CALL
2,BTI,CALL
2,AXP,CALL
2,ADI,PUT
2,NEM,CALL
2,INSG,PUT
2,TPC,PUT
2,SAP,PUT
2,JXN,CALL
2,IQ,PUT
2,PD,PUT
2,NMM,CALL
2,ALDX,PUT
2,BLNK,PUT
2,ALNY,CALL
2,INMD,PUT
2,URI,PUT
2,FROG,PUT
2,EMR,CALL
2,LZ,PUT
2,PHM,CALL
2,SLI,PUT
2,CFLT,PUT
2,VEEV,CALL
2,MOS,CALL
2,FSLR,CALL
2,STZ,CALL
2,AMN,CALL
2,TMHC,CALL
2,TRUP,PUT
2,ON,CALL
2,ESRT,PUT
2,ZNGA,PUT
2,ASHR,PUT
2,SIL,CALL
2,POOL,CALL
2,ALL,PUT
2,MDT,CALL
2,RSI,PUT
2,APPS,CALL
2,EBIX,CALL
2,KNSL,CALL
2,SIVB,CALL
2,EBAY,PUT
2,VNQ,CALL
2,DTEA,PUT
2,ON,PUT
2,RHI,CALL
2,BOIL,PUT
2,ASTS,CALL
2,FTCH,CALL
2,CPE,CALL
2,NNI,PUT
2,AVYA,PUT
2,MGA,CALL
2,VIR,CALL
2,PAYC,PUT
2,SLDP,CALL
2,CLR,CALL
2,ACN,PUT
2,COP,PUT
2,UAN,PUT
2,NTES,PUT
2,SUNL,PUT
2,IGT,CALL
2,GLNG,CALL
2,BLDR,PUT
2,FCEL,CALL
2,AXSM,CALL
2,ETWO,PUT
2,MNDY,CALL
2,RH,PUT
2,SKIN,PUT
2,GPN,CALL
2,SEAH,PUT
2,TJX,CALL
2,GILD,PUT
2,EVBG,PUT
2,SDC,PUT
2,ADI,CALL
2,HLT,CALL
2,FAZ,CALL
2,KEYS,CALL
2,RSP,PUT
2,SNDR,CALL
2,RKT,PUT
2,NOVA,CALL
2,Z,CALL
2,EXAS,PUT
2,OMF,CALL
2,CDW,CALL
2,QQQJ,PUT
2,BBIG,CALL
2,DOW,CALL
2,GEF,CALL
2,AMT,CALL
2,TX,CALL
2,VRM,PUT
2,OXY,PUT
2,SHW,CALL
2,ADM,CALL
2,UUP,CALL
2,CHRW,CALL
2,ICE,CALL
2,CVS,PUT
2,GT,PUT
2,DXCM,CALL
2,HTZ,PUT
2,ALTO,CALL
2,NOK,CALL
2,PFSI,CALL
2,FND,PUT
2,LOGI,PUT
2,QTNT,PUT
2,INVH,CALL
2,CPB,CALL
2,RIDE,PUT
2,SQQQ,PUT
2,WAL,PUT
2,OOTO,CALL
2,NVS,PUT
2,CSCO,PUT
2,PAGS,PUT
2,CHK,PUT
2,THRY,CALL
2,LIND,CALL
2,AA,PUT
2,SBUX,PUT
2,ABCL,CALL
2,FLR,CALL
2,CNNE,CALL
2,ARCT,CALL
2,PGJ,CALL
2,AXNX,PUT
2,WBA,PUT
2,BRPM,CALL
2,VB,PUT
2,XLU,PUT
2,CMA,PUT
2,FSLY,CALL
2,ESI,CALL
2,SKIN,CALL
2,NUE,PUT
2,DPZ,PUT
2,OTLY,PUT
2,RIO,CALL
2,UPS,PUT
2,REAL,PUT
2,STEM,PUT
2,NVCR,PUT
2,GRPN,CALL
2,DISH,CALL
2,MX,CALL
2,IYR,CALL
2,CP,CALL
2,JCI,CALL
2,SNY,PUT
2,BAX,PUT
2,SKLZ,CALL
2,CPRT,CALL
2,UUUU,CALL
2,BB,PUT
2,LSCC,CALL
2,FRC,CALL
2,J,CALL
2,LMND,CALL
2,PCTY,PUT
2,AI,PUT
2,TRIP,PUT
2,LITE,CALL
2,KPLT,PUT
2,DIDI,CALL
2,IRBT,CALL
2,BHP,CALL
2,SIX,CALL
2,AR,CALL
2,OPRX,CALL
2,CTAS,CALL
2,OLLI,PUT
2,HRL,CALL
2,GDS,CALL
2,STNE,CALL
2,SAFE,PUT
2,ABUS,CALL
2,DPST,PUT
2,BROS,CALL
2,UHAL,PUT
2,EVR,CALL
2,WM,CALL
2,TECK,CALL
2,GPN,PUT
2,RTX,CALL
2,STEM,CALL
2,FSLR,PUT
2,UDOW,CALL
2,EDR,CALL
2,KLIC,PUT
2,ZLAB,PUT
2,PSX,CALL
2,WISH,CALL
2,FIVE,PUT
2,AMRS,PUT
2,GUSH,CALL
2,SEAC,CALL
2,BILI,PUT
2,CRTX,PUT
2,SOXS,CALL
2,NKTR,CALL
2,PRFT,CALL
2,YNDX,CALL
2,MGM,CALL
2,DELL,CALL
2,SU,PUT
2,AG,PUT
2,NEE,PUT
2,EAR,CALL
2,FINX,PUT
2,PSTG,PUT
2,LOB,CALL
2,EPAM,PUT
2,OKE,PUT
2,GRWG,CALL
2,BSAC,PUT
2,CTXS,PUT
2,SONO,CALL
2,VGT,PUT
2,GPRO,PUT
2,TM,CALL
2,EDIT,CALL
2,XLU,CALL
2,COMM,CALL
2,BKSY,PUT
2,A,PUT
2,AZO,PUT
2,QRVO,PUT
2,WDAY,CALL
2,CELH,PUT
1,OCGN,CALL
1,EA,CALL
1,WBS,CALL
1,HDB,PUT
1,LNC,CALL
1,DDS,CALL
1,TWI,CALL
1,BSX,PUT
1,ALLK,PUT
1,NVTS,CALL
1,VNQI,PUT
1,DISCK,CALL
1,MOS,PUT
1,SFIX,CALL
1,PXD,PUT
1,AAP,CALL
1,HVT,CALL
1,HON,PUT
1,USB,PUT
1,PWR,PUT
1,QID,CALL
1,ZY,PUT
1,WBX,CALL
1,PL,CALL
1,BIRD,PUT
1,ALL,CALL
1,SBSW,CALL
1,WSM,CALL
1,GPK,CALL
1,GLBE,CALL
1,NLS,PUT
1,XME,PUT
1,IPOF,PUT
1,EWU,PUT
1,BE,PUT
1,HPQ,PUT
1,MGNI,CALL
1,CINF,CALL
1,LMT,PUT
1,ERIC,CALL
1,BUD,CALL
1,POSH,PUT
1,RPD,CALL
1,BTU,CALL
1,CLOV,CALL
1,CCS,CALL
1,EGLE,PUT
1,BBW,CALL
1,WW,CALL
1,ORLY,CALL
1,DOLE,CALL
1,RKLB,PUT
1,FTAI,CALL
1,NTES,CALL
1,ATHM,PUT
1,VLD,CALL
1,TRHC,CALL
1,EWY,CALL
1,APLS,PUT
1,ASPN,CALL
1,BFLY,CALL
1,EDU,PUT
1,VDE,PUT
1,KKR,CALL
1,CLOU,CALL
1,PLTK,PUT
1,GRTX,CALL
1,TECL,PUT
1,MKC,CALL
1,HTOO,CALL
1,SGEN,PUT
1,JBHT,PUT
1,XP,CALL
1,ANGI,CALL
1,LPX,CALL
1,DRI,PUT
1,TTT,CALL
1,NBIX,PUT
1,CMRX,PUT
1,LSCC,PUT
1,AI,CALL
1,GDDY,CALL
1,OKE,CALL
1,FUV,CALL
1,AZN,CALL
1,NEM,PUT
1,CERN,CALL
1,NXST,CALL
1,INDI,CALL
1,CROX,PUT
1,PTEN,CALL
1,AEM,CALL
1,VECO,CALL
1,SNV,CALL
1,FFNW,PUT
1,EMR,PUT
1,YOU,PUT
1,RBOT,CALL
1,WELL,CALL
1,ENR,CALL
1,LPI,CALL
1,BE,CALL
1,NSC,CALL
1,BLNK,CALL
1,IEF,PUT
1,LI,CALL
1,ML,PUT
1,AMN,PUT
1,TPGY,CALL
1,ICLN,PUT
1,UTZ,PUT
1,PKI,PUT
1,PRU,PUT
1,IBN,CALL
1,VOO,PUT
1,IDXX,PUT
1,UMC,CALL
1,ATOM,PUT
1,ANF,CALL
1,SMFR,PUT
1,ARCH,PUT
1,ROP,CALL
1,SFIX,PUT
1,VIR,PUT
1,SPTN,CALL
1,LYV,PUT
1,CPNG,CALL
1,ESTC,PUT
1,KMPH,CALL
1,AUY,PUT
1,CIM,CALL
1,VSAT,PUT
1,IRM,CALL
1,MJ,PUT
1,GWH,PUT
1,DY,CALL
1,ACI,PUT
1,MCO,CALL
1,HT,PUT
1,PRPL,CALL
1,DECK,CALL
1,APPN,CALL
1,TROW,PUT
1,PSTH,CALL
1,GRPN,PUT
1,HPE,CALL
1,TMUS,CALL
1,BBAI,CALL
1,CPNG,PUT
1,CALX,CALL
1,CRL,PUT
1,ODP,CALL
1,SKX,CALL
1,EOSE,PUT
1,META,CALL
1,BEN,CALL
1,HES,PUT
1,SAVE,CALL
1,CRDF,CALL
1,SPGI,CALL
1,ALLO,CALL
1,TMUS,PUT
1,BUD,PUT
1,APTV,CALL
1,TREX,CALL
1,ADS,PUT
1,WDC,CALL
1,IBM,PUT
1,LUMN,PUT
1,WAT,CALL
1,ICE,PUT
1,MKC,PUT
1,VRT,PUT
1,OMF,PUT
1,SWAV,CALL
1,LABD,CALL
1,VRSK,CALL
1,SABR,CALL
1,ECL,CALL
1,MKTX,PUT
1,SWKS,PUT
1,NEWR,PUT
1,GD,CALL
1,HSBC,PUT
1,OMER,PUT
1,WPRT,PUT
1,ZYXI,PUT
1,CTRM,PUT
1,ICLR,CALL
1,OEG,PUT
1,BHG,PUT
1,DDS,PUT
1,CDXS,CALL
1,WMB,CALL
1,MCO,PUT
1,AGNC,PUT
1,TM,PUT
1,ALNY,PUT
1,SRE,CALL
1,NM,CALL
1,MOH,PUT
1,NTLA,PUT
1,CHGG,CALL
1,ASYS,PUT
1,BAND,PUT
1,MIME,CALL
1,ARVL,CALL
1,IPGP,PUT
1,APTV,PUT
1,CND,CALL
1,PROG,CALL
1,CPRI,PUT
1,TVTX,PUT
1,NDAQ,CALL
1,PCRX,PUT
1,FSR,PUT
1,JNJ,PUT
1,ZDGE,PUT
1,MBI,PUT
1,CACC,CALL
1,WTRH,CALL
1,GT,CALL
1,SU,CALL
1,TCOM,PUT
1,ITW,PUT
1,BOX,PUT
1,FXY,CALL
1,SFNC,PUT
1,DAC,PUT
1,MAT,CALL
1,BBD,PUT
1,THO,CALL
1,KPLT,CALL
1,AES,PUT
1,AOSL,CALL
1,CNHI,CALL
1,IGMS,PUT
1,MAC,CALL
1,PAAS,PUT
1,AR,PUT
1,TASK,CALL
1,VNDA,PUT
1,TXT,PUT
1,SEAT,PUT
1,DOC,CALL
1,GWH,CALL
1,AMLP,CALL
1,ISEE,CALL
1,SDGR,CALL
1,CRSP,PUT
1,EXR,PUT
1,CERE,CALL
1,VSCO,CALL
1,UGA,CALL
1,WSC,CALL
1,SWK,CALL
1,ZGNX,CALL
1,CDLX,PUT
1,VFH,CALL
1,ED,CALL
1,STM,CALL
1,TFC,CALL
1,FTCV,PUT
1,JOE,CALL
1,HYG,CALL
1,PDD,CALL
1,EXC,CALL
1,ALV,CALL
1,CPRT,PUT
1,GSK,CALL
1,BTAI,CALL
1,SPT,CALL
1,OM,PUT
1,FIVN,PUT
1,HYZN,CALL
1,MGA,PUT
1,TGB,CALL
1,MAG,CALL
1,WWD,CALL
1,IIVI,PUT
1,FFIE,PUT
1,ME,CALL
1,MNDY,PUT
1,ETN,CALL
1,VCR,PUT
1,ARNA,CALL
1,AXON,PUT
1,CYBR,PUT
1,DISCA,CALL
1,MSGE,CALL
1,WSM,PUT
1,SCCO,CALL
1,GOTU,PUT
1,LMT,CALL
1,ADS,CALL
1,CAMT,CALL
1,KBE,PUT
1,ATHA,PUT
1,YETI,CALL
1,EMB,CALL
1,RDFN,CALL
1,AJG,CALL
1,IBB,PUT
